i,timestamp(ns),AX(m/s2),AY(m/s2),AZ(m/s2),GX(rad/s),GY(rad/s),GZ(rad/s),T(C)
158,99451282575,-0.30548,0.13303,-9.64370,-0.00237,-0.00027,-0.00123,38.56
159,99452157208,-0.14328,0.28627,-9.71065,-0.00663,0.00825,-0.00230,38.56
160,99453032204,0.12864,0.60233,-9.77281,-0.00237,0.00932,-0.00230,38.56
161,99453907197,0.20019,0.64064,-9.75368,0.00189,0.00292,0.00303,38.56
162,99454782190,-0.08126,0.37726,-9.68196,0.00296,-0.00027,0.00409,38.56
163,99455657183,-0.29594,0.18092,-9.62936,0.00189,-0.00134,-0.00230,38.57
164,99456532176,-0.25300,0.16655,-9.63414,-0.00130,0.00399,-0.00550,38.57
165,99457407169,-0.06218,0.43472,-9.71065,-0.00237,0.00719,-0.00763,38.56
166,99458282162,0.17157,0.66458,-9.75368,0.00296,0.00399,-0.00123,38.56
167,99459157155,0.08093,0.54007,-9.67717,0.00828,-0.00453,0.00303,38.56
168,99460032148,-0.23392,0.28627,-9.60067,0.00296,-0.00347,0.00622,38.56
169,99460907141,-0.29117,0.17613,-9.58632,-0.00024,0.00186,-0.00017,38.56
170,99461782235,-0.14328,0.29106,-9.63892,-0.00663,0.00505,-0.00443,38.56
171,99462657322,0.08093,0.60712,-9.71065,-0.00557,0.00186,-0.00337,38.56
172,99463532409,0.19542,0.67416,-9.71065,-0.00343,-0.00027,0.00196,38.56
173,99464407496,-0.05264,0.43472,-9.65805,-0.00130,-0.00240,0.00409,38.56
174,99465282583,-0.30071,0.24796,-9.62457,-0.00237,0.00079,0.00303,38.57
175,99466157670,-0.26731,0.18571,-9.61979,-0.00450,0.00399,-0.00230,38.57
176,99467032757,-0.10035,0.37726,-9.67717,-0.00663,0.00719,-0.00550,38.57
177,99467907844,0.13818,0.65979,-9.73456,-0.00450,0.00719,-0.00017,38.57
178,99468782931,0.13341,0.59754,-9.70587,0.00189,0.00292,0.00516,38.57
179,99469658018,-0.15759,0.33416,-9.65326,0.00722,0.00079,0.00622,38.56
180,99470532569,-0.31502,0.19049,-9.63892,0.00402,0.00399,-0.00017,38.56
181,99471407113,-0.22915,0.22880,-9.65326,0.00296,0.00719,-0.00443,38.56
182,99472281657,0.01414,0.53050,-9.71543,0.00189,0.00825,-0.00763,38.56
183,99473156201,0.21927,0.66937,-9.75368,0.00615,0.00292,-0.00337,38.56
184,99474030745,0.03800,0.44909,-9.67717,0.00935,-0.00027,0.00090,38.56
185,99474905289,-0.26254,0.20007,-9.64370,0.00402,-0.00027,-0.00230,38.56
186,99475779833,-0.26731,0.10430,-9.66283,0.00083,0.00719,-0.00550,38.56
187,99476654377,-0.10989,0.26233,-9.73456,-0.00237,0.01038,-0.00763,38.56
188,99477528921,0.11432,0.59754,-9.80628,-0.00024,0.00719,-0.00443,38.56
189,99478403465,0.15726,0.63585,-9.73934,0.00402,0.00399,0.00303,38.56
190,99479278487,-0.09558,0.38204,-9.62457,0.00402,0.00399,0.00196,38.56
191,99480153508,-0.26731,0.18092,-9.58154,0.00296,0.00399,-0.00230,38.56
192,99481028529,-0.20053,0.14740,-9.60545,-0.00024,0.00186,-0.00230,38.57
193,99481903550,0.00460,0.42514,-9.69152,-0.00024,0.00505,-0.00230,38.57
194,99482778571,0.19065,0.65021,-9.74890,0.00083,0.00186,0.00196,38.57
195,99483653592,0.06662,0.50176,-9.66283,0.00083,-0.00240,0.00409,38.56
196,99484528613,-0.21961,0.24317,-9.59110,0.00083,-0.00453,-0.00123,38.56
197,99485403634,-0.28162,0.11866,-9.59588,-0.00130,-0.00347,-0.00230,38.56
198,99486278655,-0.16236,0.23838,-9.65805,-0.00663,-0.00240,-0.00443,38.56
199,99487153676,0.06185,0.57838,-9.72021,-0.00557,-0.00240,-0.00337,38.56
200,99488030559,0.21927,0.63585,-9.69630,-0.00343,-0.00560,0.00090,38.56
201,99488907438,-0.01448,0.38683,-9.65805,-0.00024,-0.00773,0.00409,38.56
202,99489784317,-0.28162,0.17613,-9.65326,0.00083,-0.00240,0.00090,38.55
203,99490661196,-0.25777,0.12824,-9.66283,-0.00343,0.00292,-0.00123,38.56
204,99491538075,-0.07172,0.36289,-9.72021,-0.00130,0.00292,-0.00337,38.56
205,99492414954,0.18111,0.64064,-9.74412,0.00083,0.00292,-0.00123,38.56
206,99493291833,0.16680,0.56881,-9.70587,0.00402,-0.00027,0.00409,38.56
207,99494168712,-0.12897,0.31021,-9.67239,0.00296,-0.00134,0.00409,38.56
208,99495045591,-0.29117,0.15697,-9.65805,0.00296,0.00399,0.00090,38.56
209,99495922470,-0.21484,0.20965,-9.68196,0.00083,0.00932,-0.00230,38.56
210,99496797695,-0.01448,0.54486,-9.75846,0.00083,0.01145,-0.00763,38.55
211,99497672914,0.16203,0.69331,-9.75846,0.00615,0.00186,-0.00017,38.55
212,99498548133,-0.01448,0.46824,-9.67239,0.00828,-0.00027,0.00196,38.55
213,99499423352,-0.31025,0.22402,-9.61979,0.00828,-0.00134,0.00196,38.55
214,99500298571,-0.33887,0.11388,-9.61501,0.00402,0.00186,-0.00443,38.55
215,99501173790,-0.15759,0.29106,-9.67239,-0.00237,0.00292,-0.00550,38.55
216,99502049009,0.12864,0.60712,-9.72977,-0.00450,0.00292,-0.00337,38.55
217,99502924228,0.18588,0.59275,-9.70587,0.00189,0.00079,-0.00017,38.55
218,99503799447,-0.11466,0.34852,-9.62457,0.00296,0.00079,0.00196,38.55
219,99504674666,-0.31979,0.18571,-9.58632,0.00083,0.00079,-0.00230,38.55
220,99505549168,-0.26254,0.20965,-9.61023,-0.00024,0.00186,-0.00337,38.55
221,99506423664,-0.06695,0.48261,-9.70108,0.00083,0.00186,-0.00337,38.55
222,99507298160,0.17157,0.68373,-9.75368,-0.00130,-0.00027,0.00090,38.55
223,99508172656,0.07139,0.53528,-9.67239,0.00402,-0.00453,0.00516,38.56
224,99509047152,-0.24823,0.27190,-9.61501,0.00189,-0.00134,0.00516,38.56
225,99509921648,-0.33410,0.15219,-9.62457,-0.00343,0.00292,0.00303,38.56
226,99510796144,-0.18144,0.27190,-9.69152,-0.00450,0.00719,-0.00123,38.56
227,99511670640,0.06185,0.58317,-9.76325,-0.00024,0.00825,0.00090,38.55
228,99512545136,0.18111,0.64542,-9.74412,0.00296,0.00399,0.00835,38.56
229,99513419632,-0.05741,0.42514,-9.67239,0.00615,0.00292,0.00409,38.55
230,99514294689,-0.31979,0.22402,-9.61979,0.00296,0.00186,-0.00123,38.55
231,99515169744,-0.28640,0.15697,-9.60545,-0.00024,0.00505,-0.00656,38.55
232,99516044799,-0.08126,0.37726,-9.67717,-0.00237,0.00612,-0.00443,38.55
233,99516919854,0.17157,0.63585,-9.74890,-0.00130,0.00399,-0.00123,38.55
234,99517794909,0.12864,0.54965,-9.70587,0.00509,-0.00027,0.00196,38.55
235,99518669964,-0.16236,0.29585,-9.62457,0.00402,-0.00027,0.00516,38.56
236,99519545019,-0.27208,0.16176,-9.59588,0.00083,-0.00027,0.00090,38.56
237,99520420074,-0.19576,0.20965,-9.61979,-0.00237,0.00399,-0.00443,38.56
238,99521295129,0.01892,0.51134,-9.69152,-0.00343,0.00612,-0.00017,38.56
239,99522170184,0.19542,0.64542,-9.72499,0.00402,0.00079,0.00622,38.56
240,99523045751,-0.00017,0.42514,-9.64848,0.00615,-0.00666,0.00729,38.56
241,99523921314,-0.30071,0.17134,-9.60545,0.00509,-0.00027,0.00409,38.56
